sample id	frequency
srr12011835	5,148
srr12011886	5,142
srr5808415	5,134
srr12011827	5,126
srr5808325	5,103
srr14300482	5,101
srr5808375	5,083
srr14300733	5,082
srr14300570	5,064
srr14300830	5,06
srr5808354	5,052
srr12011798	5,046
srr6173240	5,042
srr12011862	5,041
srr12011859	5,037
srr5808337	5,021
srr12011850	5,019
srr5808316	5,005
srr5808320	5,002
srr5808418	4,999
srr6173232	4,998
srr5808419	4,986
srr12011840	4,977
srr5808412	4,968
srr12011842	4,967
srr8450587	4,96
srr16072466	4,954
srr3218761	4,942
srr14300484	4,939
srr5808414	4,932
srr5808388	4,93
srr5808322	4,92
srr12011828	4,903
srr12011837	4,9
srr14300858	4,883
srr12011848	4,881
srr12011875	4,87
srr12011930	4,828
srr12011803	4,812
srr16072467	4,805
srr14300614	4,782
srr5808366	4,772
srr6173229	4,765
srr12011800	4,762
srr12011847	4,748
srr12011829	4,742
srr14300487	4,724
srr21283104	4,712
srr5808413	4,709
srr6173197	4,706
srr5808349	4,705
srr12011799	4,703
srr12011851	4,696
srr5808317	4,696
srr12011818	4,692
srr12011821	4,691
srr5808319	4,689
srr12011873	4,667
srr6173200	4,664
srr14300779	4,662
srr16072455	4,643
srr5808421	4,629
srr12011929	4,626
srr12011860	4,616
srr14300845	4,607
srr14300861	4,607
srr12011825	4,594
srr14300687	4,566
srr5808423	4,546
srr12011838	4,543
srr5808409	4,541
srr12011854	4,506
srr5808336	4,499
srr14300476	4,485
srr14300478	4,482
srr16072452	4,481
srr6173235	4,474
srr5808362	4,447
srr6173224	4,438
srr5808371	4,428
srr5808339	4,424
srr5808425	4,405
srr14300731	4,387
srr16072468	4,379
srr21283122	4,37
srr5808378	4,344
err3561524	4,32
srr12011856	4,289
srr5808355	4,288
srr14300564	4,26
srr14300718	4,259
srr14300479	4,231
srr14300783	4,22
srr14300580	4,207
srr12011816	4,166
srr14300862	4,156
srr14300573	4,146
srr14300477	4,144
srr14300679	4,123
srr5808401	4,091
srr14300727	4,082
srr14300728	4,068
srr14300787	4,032
srr14300729	3,995
srr14300760	3,994
srr12011817	3,991
srr21283112	3,976
srr14300569	3,956
srr14300826	3,948
srr5808411	3,937
srr5808390	3,929
srr14300485	3,928
srr14300839	3,886
srr14300557	3,873
srr14300773	3,865
srr14300648	3,849
srr5808392	3,834
srr14300489	3,829
srr14300579	3,816
srr14300581	3,814
srr14300645	3,791
srr14300853	3,788
srr14300785	3,774
srr14300829	3,731
srr14300480	3,715
srr5808323	3,687
srr6173227	3,667
srr14300742	3,648
srr14300850	3,624
srr14300530	3,621
srr14300824	3,58
srr16072470	3,577
srr14300857	3,577
srr14300568	3,573
srr5808344	3,571
srr16072450	3,556
srr14300790	3,52
srr5808338	3,504
srr14300781	3,501
srr14300676	3,48
srr14300519	3,473
srr14300591	3,465
srr14300582	3,441
srr14300798	3,426
srr5808367	3,393
srr14300678	3,369
srr14300488	3,361
srr14300738	3,36
srr21283102	3,338
srr14300784	3,315
srr14300725	3,295
srr14300835	3,289
srr14300854	3,276
srr14300838	3,269
srr14300494	3,268
srr14300848	3,26
srr14300796	3,259
srr14300726	3,258
srr14300491	3,253
srr14300740	3,246
srr14300538	3,238
srr14300490	3,237
srr14300739	3,224
srr14300823	3,222
srr14300473	3,188
srr14300801	3,181
srr14300652	3,157
srr16072456	3,142
srr16072458	3,13
srr14300624	3,096
srr14300705	3,088
srr14300493	3,08
srr14300780	3,058
srr14300837	3,054
srr14300472	3,054
srr14300536	3,053
srr14300842	3,052
srr14300483	3,032
srr14300834	3,032
srr14300474	3,026
srr14300782	3,009
srr14300736	2,97
srr16072457	2,932
srr14300849	2,93
srr16072471	2,925
srr14300533	2,898
srr14300659	2,893
srr14300840	2,89
srr14300747	2,869
srr14300737	2,86
srr14300665	2,856
srr14300586	2,856
srr14300663	2,848
srr14300576	2,837
srr14300816	2,796
srr14300633	2,795
srr21283115	2,781
srr14300844	2,773
srr14300817	2,772
srr14300685	2,769
srr14300757	2,76
srr14300667	2,751
srr14300744	2,75
srr14300855	2,749
srr14300791	2,741
srr14300732	2,722
srr16072459	2,714
srr14300794	2,703
srr14300724	2,703
srr14300511	2,694
srr14300646	2,69
srr14300777	2,676
srr14300825	2,651
srr14300750	2,617
srr14300475	2,614
srr14300800	2,612
srr14300822	2,609
srr14300851	2,597
srr14300610	2,595
srr14300566	2,593
srr16072449	2,589
srr16072448	2,586
srr14300778	2,57
srr14300671	2,55
srr14300680	2,538
srr14300852	2,529
srr14300558	2,524
srr14300706	2,506
srr16072447	2,501
srr21283107	2,494
srr14300661	2,471
srr14300836	2,466
srr14300832	2,456
srr14300600	2,454
srr16072460	2,428
srr14300658	2,426
srr14300612	2,419
srr14300660	2,419
srr14300608	2,41
srr14300759	2,398
srr14300653	2,397
srr14300575	2,369
srr14300841	2,358
srr14300604	2,301
srr14300673	2,301
srr14300650	2,286
srr14300497	2,246
srr14300856	2,238
srr21283103	2,23
srr14300701	2,216
srr14300508	2,202
srr14300486	2,191
srr14300578	2,183
srr14300584	2,181
srr14300670	2,157
srr14300795	2,149
srr14300828	2,145
srr14300698	2,12
srr14300684	2,108
srr14300797	2,099
srr14300827	2,074
srr14300618	2,062
srr14300642	2,028
srr14300647	2,024
srr14300563	2,01
srr14300495	1,936
srr14300492	1,909
srr14300672	1,909
srr16072473	1,841
srr14300587	1,825
srr14300775	1,795
srr14300690	1,792
srr14300689	1,79
srr14300786	1,788
srr14300632	1,78
srr14300730	1,768
srr14300640	1,764
srr16072461	1,755
srr14300675	1,75
srr14300510	1,703
srr14300590	1,698
srr16072472	1,65
srr14300764	1,647
srr14300651	1,644
srr14300697	1,641
srr16072451	1,624
srr14300692	1,61
srr14300716	1,553
srr14300715	1,536
srr14300549	1,52
srr14300722	1,51
srr14300638	1,457
srr14300509	1,403
srr21283121	1,4
srr14300696	1,25
srr14300649	1,231
srr14300656	1
