
sample id	frequency
srr21103451	2.201
srr21103452	2.201
srr21103453	2.201
srr21103454	2.201
srr21103455	2.201
srr21103456	2.201
srr21103457	2.201
srr21103458	2.201
srr21103459	2.201
srr21103460	2.201
srr21103461	2.201
srr21103462	2.201
srr21103463	2.201
srr21103464	2.201
srr21103465	2.201
srr21103466	2.201
srr21103467	2.201
srr21103468	2.201
srr21103469	2.201
srr21103470	2.201
srr21103471	2.201
srr21103472	2.201
srr21103473	2.201
srr21103474	2.201
srr21103475	2.201
srr21103476	2.201
srr21103477	2.201
srr21103478	2.201
srr21103479	2.201
srr21103480	2.201
srr21103481	2.201
srr21103482	2.201
srr21103483	2.201
srr21103484	2.201
srr21103485	2.201
srr21103486	2.201
srr21103487	2.201
srr21103488	2.201
srr21103489	2.201
srr21103490	2.201
srr21103491	2.201
srr21103492	2.201
srr21103493	2.201
srr21103494	2.201
srr21103495	2.201
srr21103496	2.201
srr21103497	2.201
srr21103498	2.201
srr21103499	2.201
srr21103500	2.201
srr21103501	2.201
srr21283102	2.201
srr21283103	2.201
srr21283104	2.201
srr21283107	2.201
srr21283112	2.201
srr21283115	2.201
srr21283121	2.201
srr21283122	2.201
srr21465144	2.201
srr21465145	2.201
srr21465146	2.201
srr21465147	2.201
srr21465148	2.201
srr21465149	2.201
srr2158275	2.201
srr23782922	2.201
srr23782923	2.201
srr23782924	2.201
srr3218648	2.201
srr3218660	2.201
srr3218672	2.201
srr3218686	2.201
srr3218700	2.201
srr3218709	2.201
srr3218710	2.201
srr3218711	2.201
srr3218713	2.201
srr3218761	2.201
srr3218777	2.201
srr3218792	2.201
srr3968782	2.201
srr3968783	2.201
srr3968784	2.201
srr3968785	2.201
srr3968786	2.201
srr3968787	2.201
srr3968788	2.201
srr3968789	2.201
srr3968790	2.201
srr3968791	2.201
srr3968792	2.201
srr3968793	2.201
srr5808316	2.201
srr5808317	2.201
srr5808318	2.201
srr5808319	2.201
srr5808320	2.201
srr5808321	2.201
srr5808322	2.201
srr5808323	2.201
srr5808324	2.201
srr5808325	2.201
srr5808326	2.201
srr5808327	2.201
srr5808328	2.201
srr5808329	2.201
srr5808330	2.201
srr5808331	2.201
srr5808332	2.201
srr5808333	2.201
srr5808334	2.201
srr5808335	2.201
srr5808336	2.201
srr5808337	2.201
srr5808338	2.201
srr5808339	2.201
srr5808340	2.201
srr5808341	2.201
srr5808342	2.201
srr5808343	2.201
srr5808344	2.201
srr5808345	2.201
srr5808346	2.201
srr5808347	2.201
srr5808348	2.201
srr5808349	2.201
srr5808350	2.201
srr5808351	2.201
srr5808352	2.201
srr5808353	2.201
srr5808354	2.201
srr5808355	2.201
srr5808356	2.201
srr5808357	2.201
srr5808358	2.201
srr5808359	2.201
srr5808360	2.201
srr5808361	2.201
srr5808362	2.201
srr5808363	2.201
srr5808364	2.201
srr5808365	2.201
srr5808366	2.201
srr5808367	2.201
srr5808368	2.201
srr5808369	2.201
srr5808370	2.201
srr5808371	2.201
srr5808373	2.201
srr5808374	2.201
srr5808375	2.201
srr5808376	2.201
srr5808377	2.201
srr5808378	2.201
srr5808379	2.201
srr5808380	2.201
srr5808381	2.201
srr5808382	2.201
srr5808383	2.201
srr5808384	2.201
srr5808385	2.201
srr5808386	2.201
srr5808387	2.201
srr5808388	2.201
srr5808389	2.201
srr5808390	2.201
srr5808391	2.201
srr5808392	2.201
srr5808393	2.201
srr5808394	2.201
srr5808395	2.201
srr5808396	2.201
srr5808397	2.201
srr5808398	2.201
srr5808399	2.201
srr5808400	2.201
srr5808401	2.201
srr5808402	2.201
srr5808403	2.201
srr5808404	2.201
srr5808405	2.201
srr5808406	2.201
srr5808407	2.201
srr5808408	2.201
srr5808409	2.201
srr5808410	2.201
srr5808411	2.201
srr5808412	2.201
srr5808413	2.201
srr5808414	2.201
srr5808415	2.201
srr5808416	2.201
srr5808417	2.201
srr5808418	2.201
srr5808419	2.201
srr5808420	2.201
srr5808421	2.201
srr5808422	2.201
srr5808423	2.201
srr5808424	2.201
srr5808425	2.201
srr5808426	2.201
srr5808427	2.201
srr5808428	2.201
srr5808429	2.201
srr6173195	2.201
srr6173196	2.201
srr6173197	2.201
srr6173198	2.201
srr6173199	2.201
srr6173200	2.201
srr6173201	2.201
srr6173202	2.201
srr6173203	2.201
srr6173204	2.201
srr6173205	2.201
srr6173206	2.201
srr6173207	2.201
srr6173208	2.201
srr6173209	2.201
srr6173210	2.201
srr6173211	2.201
srr6173212	2.201
srr6173213	2.201
srr6173214	2.201
srr6173215	2.201
srr6173216	2.201
srr6173217	2.201
srr6173218	2.201
srr6173219	2.201
srr6173220	2.201
srr6173221	2.201
srr6173222	2.201
srr6173223	2.201
srr6173224	2.201
srr6173225	2.201
srr6173226	2.201
srr6173227	2.201
srr6173228	2.201
srr6173229	2.201
srr6173230	2.201
srr6173231	2.201
srr6173232	2.201
srr6173233	2.201
srr6173234	2.201
srr6173235	2.201
srr6173236	2.201
srr6173237	2.201
srr6173238	2.201
srr6173239	2.201
srr6173240	2.201
srr6173241	2.201
srr6173242	2.201
srr6173243	2.201
srr6173244	2.201
srr6173245	2.201
srr6173246	2.201
srr6173247	2.201
srr6173248	2.201
srr6173249	2.201
srr6173250	2.201
srr6173251	2.201
srr6301241	2.201
srr6301244	2.201
srr6301246	2.201
srr7268535	2.201
srr7268537	2.201
srr7268539	2.201
srr7268541	2.201
srr7268543	2.201
srr7268544	2.201
srr7268546	2.201
srr7268549	2.201
srr7268551	2.201
srr7268553	2.201
srr7268555	2.201
srr7268557	2.201
srr7698539	2.201
srr8450533	2.201
srr8450534	2.201
srr8450536	2.201
srr8450538	2.201
srr8450540	2.201
srr8450542	2.201
srr8450544	2.201
srr8450546	2.201
srr8450548	2.201
srr8450550	2.201
srr8450552	2.201
srr8450554	2.201
srr8450556	2.201
srr8450557	2.201
srr8450559	2.201
srr8450561	2.201
srr8450563	2.201
srr8450565	2.201
srr8450567	2.201
srr8450569	2.201
srr8450571	2.201
srr8450572	2.201
srr8450573	2.201
srr8450575	2.201
srr8450577	2.201
srr8450579	2.201
srr8450581	2.201
srr8450583	2.201
srr8450585	2.201
srr8450587	2.201
srr8450589	2.201
srr8450591	2.201
