Gêneros exclusivos de DOMESTIC-URBAN:
  - d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__JAIZZN01
  - d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Azohydromonas
  - d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_B
  - d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Alcaligenes
  - d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Aldehydirespiratoraceae;g__Aldehydirespirator
  - d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;__
  - d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces
  - d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Pseudochelatococcus
  - d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__
  - d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__JADFRG01
  - d__Bacteria;p__Bacillota_E;c__Sulfobacillia;o__Sulfobacillales;f__JAIMBI01;g__JAIMBI01
  - d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum
  - d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__RHKX01
  - d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Tepidimicrobiaceae;g__JAIOUP01
  - d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Phosphoribacter
  - d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__GCA-2699445;g__GCA-2699445
  - d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__BICA1-8;g__BICA1-8
