
sample id	frequency
srr14300675	4.553
srr12011829	4.512
srr14300645	4.476
srr12011898	4.468
srr5808419	4.440
srr12011791	4.437
srr14300780	4.433
srr5808382	4.424
srr14300580	4.416
srr14300824	4.403
srr12011912	4.399
srr5808390	4.397
srr5808344	4.391
srr14300472	4.362
srr12011835	4.345
srr5808421	4.345
srr14300737	4.324
srr12011924	4.323
srr14300689	4.317
srr12011838	4.305
srr12011821	4.296
srr14300857	4.295
srr5808355	4.283
srr12011909	4.278
srr14300665	4.271
srr14300494	4.238
srr14300582	4.223
srr14300581	4.192
srr14300489	4.172
srr12011793	4.150
srr14300781	4.133
srr5808414	4.133
srr6173240	4.133
srr12011873	4.089
srr6173197	4.083
srr12011818	4.077
srr14300722	4.073
srr12011828	4.039
srr12011911	4.035
srr12011850	4.032
srr14300828	4.025
srr12011916	4.020
srr14300839	4.002
srr12011790	3.994
srr14300848	3.993
srr12011894	3.987
srr6173232	3.967
srr12011918	3.964
srr14300785	3.957
srr14300740	3.956
srr5808378	3.953
srr12011837	3.945
srr14300837	3.939
srr14300856	3.932
srr12011800	3.924
srr14300822	3.915
srr14300488	3.891
srr14300491	3.885
srr12088657	3.835
srr5808409	3.796
srr6173200	3.773
srr14300676	3.740
srr14300519	3.737
srr14300678	3.728
srr14300510	3.710
srr21283104	3.705
srr14300646	3.639
srr12011926	3.630
srr14300744	3.627
srr12011872	3.626
srr5808403	3.608
srr14300584	3.584
srr5808319	3.553
srr5808323	3.508
srr14300823	3.503
srr14300632	3.482
srr5808339	3.477
srr14300600	3.457
srr6173229	3.452
srr14300511	3.450
srr12011851	3.443
srr14300573	3.437
srr5808362	3.420
srr6173227	3.416
srr12011825	3.411
srr12011923	3.389
srr14300777	3.341
srr14300782	3.317
srr14300739	3.305
srr5808317	3.298
srr12011868	3.276
srr14300538	3.249
srr14300726	3.246
srr14300736	3.244
srr5808374	3.239
srr14300757	3.235
srr14300715	3.234
srr14300663	3.232
srr14300747	3.207
srr12011817	3.200
srr14300633	3.200
srr12011807	3.188
srr14300533	3.179
srr14300490	3.134
srr14300841	3.126
srr12011875	3.108
srr12011929	3.079
srr14300579	3.074
srr12011930	3.058
srr14300660	3.050
srr14300764	3.045
srr14300493	3.043
srr21283107	3.043
srr14300750	3.038
srr14300834	3.038
srr21283122	3.011
srr14300790	3.006
srr14300849	2.963
srr14300475	2.944
srr14300705	2.940
srr6173224	2.933
srr14300549	2.913
srr14300652	2.910
srr14300724	2.892
srr14300725	2.883
srr14300759	2.880
srr5808367	2.879
srr14300658	2.871
srr12011806	2.868
srr5808423	2.863
srr14300624	2.838
srr14300801	2.826
srr14300536	2.814
srr14300795	2.791
srr12088656	2.780
srr14300697	2.755
srr21283112	2.731
srr14300587	2.709
srr14300685	2.666
srr14300509	2.651
srr14300687	2.638
srr14300671	2.631
srr14300794	2.630
srr14300483	2.618
srr5808338	2.612
srr14300732	2.599
srr14300564	2.595
srr14300586	2.586
srr14300610	2.569
srr14300618	2.559
srr14300835	2.539
srr14300800	2.487
srr14300832	2.476
