	shannon_entropy
SRR12011867	4.964852656693072
SRR12011868	4.892072837455212
SRR12011869	4.520111851436673
SRR12011870	5.006092927609799
SRR12011871	4.820710372726215
SRR12011872	4.429799333537314
SRR12011873	4.1745024200513
SRR12011874	4.892612508003874
SRR12011875	4.349943506539125
SRR12011876	4.868752453923681
SRR12011877	5.1277230291440965
SRR12011878	5.24898899037177
SRR12011879	5.609201219158253
SRR12011880	5.0408586558281705
SRR12011881	5.052928147126298
SRR12011882	4.862331495546724
SRR12011883	5.004712060528482
SRR12011884	4.972374177612833
SRR12011885	5.166400968332328
SRR12011886	4.436361580696065
SRR12011887	5.014714742945485
SRR12011888	5.171007406614765
SRR12011889	5.224933724452043
SRR12011890	4.762246315352128
SRR12011891	5.172575022863032
SRR12011892	4.8577042966048545
SRR12011893	5.223707906046048
SRR12011894	4.587767461100997
SRR12011895	4.658646185846765
SRR12011896	4.851671792237807
SRR12011897	4.739318241078585
SRR12011898	4.843235246546313
SRR12011899	4.6421994251037155
SRR12011900	4.965874820847263
SRR12011901	5.067314261571905
SRR12011902	5.280051043784754
SRR12011903	4.93331850447209
SRR12011904	4.772510119124067
SRR12011905	5.351145008722593
SRR12011907	4.889400335400453
SRR12011908	5.297242457219436
SRR12011909	4.851649211044269
SRR12011910	4.625276568651178
SRR12011911	4.632499872523885
SRR12011912	4.641686144622965
SRR12011913	4.787857810131441
SRR12011914	4.82920242166811
SRR12011915	4.87934996975915
SRR12011916	4.668631479795504
SRR12011917	4.920824936989184
SRR12011918	4.9199589812085724
SRR12011919	5.153425783531397
SRR12011920	4.832771839187066
SRR12011921	4.503104720055268
SRR12011922	5.290725620327321
SRR12011923	5.002153950879324
SRR12011924	5.168100330622059
SRR12011925	5.288040088627394
SRR12011926	4.520580036752431
SRR12011927	4.5786067280973795
SRR12011928	5.43535373781221
SRR12011929	4.317395957110661
SRR12011930	4.364375153506328
SRR12088656	6.873730014135538
SRR12088657	7.384842981256021
SRR14300472	3.023993938874208
SRR14300473	2.9232617149182083
SRR14300474	2.799118379393149
SRR14300475	2.4114909223478196
SRR14300476	4.2207423756643925
SRR14300477	3.961125488579257
SRR14300478	4.201605781023554
SRR14300479	4.023719614525877
SRR14300480	3.0416545812872062
SRR14300481	4.71255389409648
SRR14300482	4.520249042157982
SRR14300483	3.0865911448829606
SRR14300484	4.482259150045008
SRR14300485	3.654935009992241
SRR14300486	1.5465411261253428
SRR14300487	4.335637537388455
SRR14300488	3.4190599323555086
SRR14300489	3.7559474566740962
SRR14300490	3.1727481059640468
SRR14300491	3.238848664268255
SRR14300492	1.2463463280896943
SRR14300493	3.167612982315735
SRR14300494	3.2511903980930694
SRR14300495	1.520630327565832
SRR14300497	1.495009352016825
SRR14300508	1.7827769223028611
SRR14300509	0.5880849730828142
SRR14300510	1.1000906222562759
SRR14300511	2.612656492317709
SRR14300519	3.4602140566385837
SRR14300530	3.527687031315931
SRR14300533	2.9636209996030707
SRR14300536	3.1181774800208757
SRR14300538	3.328448370224466
SRR14300549	0.7050991170474903
SRR14300557	3.7245222766201285
SRR14300558	1.8646515097351566
SRR14300563	1.4472492709186884
SRR14300564	3.9100280103668665
SRR14300566	2.1422090916315577
SRR14300568	3.5570959633408465
SRR14300569	3.7708912920274624
SRR14300570	4.420163309860164
SRR14300573	3.865706635614561
SRR14300575	2.395912117705935
SRR14300576	2.8500570583429687
SRR14300578	1.62983051395587
SRR14300579	3.730716060348644
